series,name,code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Military expenditure (% of GDP),Bulgaria,BGR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.396248535,3.833392817,3.043478261,2.97310757,2.609568418,2.49238965,2.380784223,2.112915306,2.182695199,2.189749735,2.64517441,2.672172536,2.87226097,2.786897403,2.700166772,2.493817765,2.345433634,2.189156344,2.305759931,1.907749062,1.856522972,1.765384186,1.443802519,1.498164155,1.613317689,1.473079402,1.316453182,1.420377585,..
Military expenditure (% of GDP),Burkina Faso,BFA,0.383841817,0.469141041,1.291409004,1.340288104,1.305948437,0.829792375,0.900585159,0.819761663,0.816742943,0.84124994,0.91314919,0.90036489,0.855151841,0.90093247,0.834617787,1.921585072,2.000030573,2.024690837,2.193864351,1.832017532,1.833378374,1.909845124,1.873298186,1.832040566,1.847298878,1.746005659,2.513387022,2.139922519,2.186007659,2.554547977,2.723552927,2.217051165,2.118653166,1.891744829,1.596541948,1.549170175,1.435960425,1.574935993,1.408061617,1.38460355,1.392430725,1.309456569,1.324823431,1.206865304,1.357519347,1.351771098,1.242719527,1.5922666,1.397904517,1.521455111,1.377515952,1.294759503,1.323023735,1.390590885,1.431375548,1.419815231,1.277890455,..
Military expenditure (% of GDP),Burundi,BDI,..,..,3.9437938,0.434801293,0.44563757,1.354433777,1.382249731,1.332606884,1.414223331,1.754491378,..,1.039609107,1.45864397,1.946204286,2.225123669,2.026984228,2.223624197,2.548794396,2.7913176,2.555921431,3.018650469,3.095367497,3.618708192,3.173716943,3.032808388,2.801838736,2.879862392,2.720880661,3.164762707,3.402680729,3.498127689,3.662139331,3.599734108,3.863536669,4.530615485,4.209072987,5.856328392,6.359393232,6.571714143,6.258234519,4.861850184,6.071040806,5.441041579,5.532779782,4.902661624,4.435617345,3.512254715,3.414900143,2.721230834,..,..,..,2.385018691,2.2420093,2.009842197,2.157506467,2.207849268,..
Military expenditure (% of GDP),Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.793270912,2.464290568,2.336429943,2.111708277,1.921458857,..,..,..,0.996156323,0.557769741,0.843963058,1.274077201,0.84902739,0.836178851,0.864732816,0.844799646,1.261261698,0.823865509,0.728028801,0.710453146,0.698044079,0.728660854,0.630491126,0.52470317,0.601269382,0.490877611,0.495061947,0.523241665,0.555765135,0.530303913,0.540807447,0.566746281,0.629054099,..
Military expenditure (% of GDP),Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.761288595,3.842342793,3.577311888,3.238454376,3.003352617,2.662043769,2.510034122,2.20981321,1.774810532,1.519617406,1.447518851,1.296742212,1.127579071,1.043100079,0.914612028,0.798217508,1.313127999,1.493096881,1.497788708,1.547939822,1.575896014,1.656764912,2.112698072,1.847569577,..
Military expenditure (% of GDP),Cameroon,CMR,..,..,..,..,..,..,..,..,..,..,1.76681339,1.738257041,1.661542789,1.663874419,1.604949002,1.63702443,1.672490884,1.625119914,1.532028117,1.492732851,1.496241691,1.818915654,1.99079397,1.890756386,1.740219059,1.359776246,1.226374397,1.250057387,1.261603862,1.333651188,1.466386303,1.505029616,1.522533117,1.157898757,1.139789386,1.133445921,1.133843461,1.181976047,1.267132732,1.352061233,1.220101663,1.198513788,1.257641022,1.295632393,1.26848059,1.243220765,1.32737745,1.326606417,1.312339132,1.319340142,1.354256639,1.18443512,1.217846576,1.214414615,1.149099015,1.144433296,1.202445897,..
Military expenditure (% of GDP),Canada,CAN,4.142856222,4.115549193,3.981334503,3.605456166,3.390672372,2.921002924,2.674724839,2.741293207,2.539969119,2.272637295,2.149328696,2.092876081,1.975376522,1.799406217,1.751501239,1.829785807,1.733940102,1.773054145,1.815396805,1.680248548,1.732487535,1.678942365,1.919407508,2.040012771,2.06814661,2.045324499,2.061302317,2.015776517,1.950789637,1.90194402,1.921833716,1.857803971,1.821285469,1.779124049,1.65663509,1.519319688,1.370733341,1.217056716,1.226374834,1.21448824,1.11808088,1.137368973,1.120852292,1.115878799,1.107966027,1.110669655,1.125832408,1.188901783,1.248621382,1.381043981,1.197152932,1.196083782,1.121099973,1.004857889,0.992272056,0.982111483,0.987432609,..
Military expenditure (% of GDP),Caribbean small states,CSS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.262293668,1.033953701,..,..,..,0.97507482,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.710843805,..,..,..,..,..,..,..,..,..
Military expenditure (% of GDP),Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Military expenditure (% of GDP),Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.568069342,1.642125317,1.497087845,1.255882652,1.16678192,1.210192071,..,..,..,..,..,1.077475347,1.31773243,1.189184355,1.151235583,..,1.125507296,1.587183334,1.816210849,2.59742643,..,..,..,..,..,..,..
