name,code,series_code,series,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belize,BLZ,gdp_pc,GDP per capita (constant 2010 US$),"1072,4663426044","1093,5868743635","1115,5126083685","1138,3072458189","1161,5339277152","1183,7738043707","1203,6367760374","1225,2904548155","1277,3724909044","1306,5754023189","1336,6535545218","1360,5039223617","1471,7274228985","1524,7818836248","1704,9967009674","1740,3687932192","1715,4849422233","1802,3674851147","1917,4709482007","2027,4675867459","2288,8006885756","2264,7522236662","2199,6971440665","2093,6435671057","2074,3964305648","2038,3810009377","2073,2048645723","2242,8762425829","2385,6333854209","2632,6274535804","2849,0345934725","3089,230440457","3404,2068074894","3557,4772563526","3491,400761556","3424,0861147929","3363,8963114581","3358,5105249687","3352,8545386655","3513,8552762873","3838,8924881726","3910,1872567279","3997,1206845264","4257,4873879165","4343,177240063","4342,1288914111","4424,4373786672","4358,4690010743","4385,1759322825","4307,22111778","4344,1501766125","4333,3617756864","4398,7644175811","4359,7141888159","4415,987093894","4446,7933902328","4328,0207382017",..
Benin,BEN,gdp_pc,GDP per capita (constant 2010 US$),"520,404179985","529,2973386426","503,5990840515","519,1306560015","544,4277628564","563,1464387033","572,453222995","567,383628665","577,3054948942","581,6103742138","581,2351189829","560,1801106141","583,0562430995","591,0505322441","596,6577081633","553,9366482043","545,1435766195","557,9322269795","550,4265035102","571,072511283","593,6195624396","635,1174934772","631,5271358807","587,287625985","616,0375005352","643,5874763489","638,7490428469","611,0281363747","613,2311802793","577,5398832722","609,3456238476","614,0052941138","610,5509018385","623,9536552048","615,1204456123","631,1712235026","638,076330738","654,5428115748","660,6317813683","675,6774815648","694,2437488628","709,4693621567","720,168276979","722,6671953431","732,3354225211","723,1999593772","730,2752555729","752,2152146605","767,0573788255","763,1050140717","757,6959074094","758,5775214493","773,1370262457","805,944940706","833,6624874489","827,8459673295","837,3419564053",..
Bermuda,BMU,gdp_pc,GDP per capita (constant 2010 US$),"27838,3930375774","28436,716583056","29006,5798401619","28640,8780165917","31041,9500043757","31740,6355233978","35659,1612543762","39616,1419860849","39686,9553481262","40290,5688347111","42055,0304719923","43819,358387283","44942,9191535041","45948,8338277272","46699,0989703916","48824,501768485","52988,7455136405","55903,5590573088","56504,0914894508","57503,2189423033","61083,4509496361","62106,1317965972","58400,2839788516","59061,1697050723","58826,9549652087","57167,1018852694","60463,9087856699","62224,8917779393","64196,2324263801","63939,8115704253","63429,2767665396","61503,6383589572","61913,7772348381","63435,4731513697","63374,766845423","65690,9641699689","66969,933143424","69624,4363363497","71810,384072276","73825,1848453623","79988,3500115683","84844,7383808264","83048,803111906","85321,2432651983","86733,3700723903","87616,3859691804","91944,8738136662","94029,6080297516","94903,19153445","89391,2111759902","88207,3275597322","86001,1711723395","81547,8552352009","79251,7816637313",..,..,..,..
Bhutan,BTN,gdp_pc,GDP per capita (constant 2010 US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"403,6577262053","447,5384197248","451,3607717794","490,1359041643","498,7035029411","504,7365470473","545,5256892275","677,5411983693","688,1799794797","721,2264192865","789,2173341565","785,9924537201","831,0630503341","861,1939214667","915,4099030762","983,2624759035","1029,1776631917","1065,0567657223","1100,1615195901","1155,2097577705","1201,1057854541","1263,9677670734","1360,7922520894","1425,055173634","1469,373150389","1534,8207453113","1601,9158016528","1848,5662550761","1898,0527938908","1986,1356177665","2178,9213830797","2310,0036550128","2387,0056738653","2399,918915904","2500,2601452687","2628,1896140661","2801,2752400356",..
Bolivia,BOL,gdp_pc,GDP per capita (constant 2010 US$),"1304,69876203","1306,5906291797","1353,0331922737","1412,2020222854","1451,186017349","1502,7913450892","1568,7994024741","1643,7549775046","1414,6986310578","1428,9134776862","1392,7520713352","1433,115408805","1515,1899912916","1568,6184752143","1580,5847620758","1659,8811042387","1698,973726079","1744,6397778724","1741,6353944979","1706,0752845574","1646,4112276266","1615,6777335091","1519,1698446932","1427,2433522375","1394,996155178","1343,7758593911","1283,0906378895","1288,904715749","1300,6420313375","1323,782989908","1358,2410843581","1401,9083520117","1397,1799330787","1428,3657240946","1465,8040433082","1504,3967838583","1539,344885239","1584,1172041599","1631,5749181929","1607,2100808707","1616,5391777689","1613,4108159859","1623,5187936422","1637,8085036223","1676,2279599722","1720,0990186673","1771,9468772518","1821,7954954377","1901,8998019351","1933,7401015119","1981,1607045044","2051,152291621","2122,3845639332","2231,4772407643","2317,257186103","2392,9839731602","2457,6259615502",..
Bosnia and Herzegovina,BIH,gdp_pc,GDP per capita (constant 2010 US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,"698,5642942747","866,9406721366","1665,5953656484","2255,0573693485","2608,1988414336","2852,0210412186","3002,8208410566","3131,1394017013","3293,1402487243","3421,7484306704","3628,5164399704","3946,0566788053","4160,5631025348","4405,2850587194","4664,091803271","4545,2276659634","4614,8290411405","4700,8878369963","4714,1154057122","4882,7570058641","4992,9053799935","5190,0987581256","5377,8372122425",..
Botswana,BWA,gdp_pc,GDP per capita (constant 2010 US$),"390,8297252646","405,7986382591","422,1720329207","435,6898931121","453,0789745196","466,2621796321","481,7858537723","495,3852821484","531,2139247506","592,6713864513","672,2273586438","818,6845681573","1000,8092636071","1173,4517103649","1232,4550076002","1288,4115107624","1372,39063401","1478,5210621541","1625,4494505706","1753,7560652674","1891,4096683636","1988,8848432102","2153,1040387552","2353,797266753","2471,1571086278","2563,0335237301","2687,317882627","2917,4360474857","3384,4808630985","3718,4856890663","3860,0086032244","4034,2608636263","4040,4266732275","4010,787151804","4053,436042194","4237,5672994631","4386,8515368161","4641,8054798406","4585,7399276873","4939,598055527","4954,7742899319","4891,9148435851","5115,8998863534","5280,2151747381","5349,0020241948","5512,8112293871","5883,8990590379","6270,4740796741","6552,7766407048","5948,8532480705","6346,1562038735","6610,3319220691","6779,3938971665","7409,4211551962","7574,2820973067","7308,6115078773","7483,1731522259",..
Brazil,BRA,gdp_pc,GDP per capita (constant 2010 US$),"3424,9970894149","3668,0244852352","3747,3862627079","3670,8262974644","3690,4486855318","3697,0390118557","3745,5225293671","3824,7543132096","4150,4852673189","4438,0277246832","4706,1263925151","5108,945626362","5586,6838237326","6216,1308159222","6617,8835895209","6798,0967138047","7287,5190951197","7443,8986450284","7504,2960198983","7824,8643561318","8339,2691185217","7788,3335462158","7653,5595618564","7225,5383585239","7439,1108105555","7860,0155781109","8314,8789207439","8445,0369946226","8276,5425217279","8391,1922921274","7986,045872969","7966,7964675878","7796,8418308987","8027,1893843072","8319,2090238292","8547,9411597069","8598,0149587982","8750,2740576768","8644,4208430246","8554,834439096","8778,1881408168","8776,8637193639","8924,3335279813","8910,8556241427","9309,0081951399","9495,1049391301","9761,8764015774","10245,23081298","10658,2253077189","10540,1087666864","11224,1540829355","11559,2122714428","11671,1829427136","11912,1467557492","11866,3889224247","11322,1466804372","10826,2714348298",..
British Virgin Islands,VGB,gdp_pc,GDP per capita (constant 2010 US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,gdp_pc,GDP per capita (constant 2010 US$),..,..,..,..,..,..,..,..,..,..,..,..,..,..,"45621,3614622116","43925,2390991564","50722,6081256912","54151,703021782","55752,538552744","66001,5809029995","59391,9511535856","46156,2248219058","46575,7780789852","45483,6311842018","44479,3539125007","42589,6832960567","40274,3388424821","39933,7551259678","39243,0170156511","37732,3751708754","37071,735304991","37162,5405979061","37838,3205639022","36904,4750646566","37043,1816690002","37703,791734616","37833,3647703949","36400,0373869634","35382,1426546445","35672,339906887","35923,4018274107","36162,9779292315","36832,2662281767","37202,3579409858","36752,047316298","36325,1207263069","37401,0531640605","36997,8072614836","35860,3887804149","34812,7146878375","35268,1011703581","36092,0969837904","35899,0373689733","34618,9729115639","33313,8327791027","32661,8570180811","31430,9625936081",..
